NATURE,42.778
Chem,19.735
JOURNAL OF MANAGEMENT,8.88
PSYCHOLOGICAL SCIENCE,5.389
RESEARCH POLICY,5.351
JOURNAL OF COMMUNICATION,4.846
CITIES,4.802
AUTISM,4.609
SUSTAINABLE DEVELOPMENT,4.082
SCIENCE EDUCATION,3.5
REGIONAL STUDIES,3.312
COGNITION,3.294
GERONTOLOGIST,3.286
PSYCHOTHERAPY,3.191
EMOTION,3.177
HIGHER EDUCATION,2.856
FUTURES,2.769
Journal of Mental Health,2.703
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2.633
ORGANIZATION,2.619
AREA,2.617
Electronic Commerce Research,2.507
INTELLIGENCE,2.471
Land,2.429
INFORMATION SOCIETY,2.378
SCIENCE COMMUNICATION,2.328
EFORT Open Reviews,2.295
TOXICOLOGY MECHANISMS AND METHODS,2.295
FORESTRY,2.293
STATISTICAL METHODS IN MEDICAL RESEARCH,2.291
JOURNAL OF ADOLESCENCE,2.284
ENVIRONMENT,2.281
European Transport Research Review,2.275
TETRAHEDRON LETTERS,2.275
Economic Systems Research,2.273
European Journal of Population-Revue Europeenne de Demographie,2.271
Journal of Computing in Higher Education,2.271
JOURNAL OF BANKING & FINANCE,2.269
Grey Systems-Theory and Application,2.268
Advances in Chemical Physics,2.267
Environmental Education Research,2.266
Assessment in Education-Principles Policy & Practice,2.265
AGRICULTURAL ECONOMICS,2.263
COUNSELING PSYCHOLOGIST,2.263
Educacion XX1,2.261
ANTITRUST LAW JOURNAL,2.259
Economic and Labour Relations Review,2.259
Cyberpsychology Behavior and Social Networking,2.258
Current Oncology,2.257
HOUSING STUDIES,2.255
JOURNAL OF INTERNATIONAL ECONOMICS,2.255
JOURNAL OF LITERACY RESEARCH,2.255
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,2.252
ANXIETY STRESS AND COPING,2.25
European Journal of Teacher Education,2.25
HEALTH ECONOMICS,2.25
RESEARCH IN SCIENCE EDUCATION,2.248
Qualitative Research,2.247
COMPARATIVE EDUCATION REVIEW,2.246
DEVELOPMENT AND CHANGE,2.246
Journal of Cardiology,2.246
CRYPTOGAMIE MYCOLOGIE,2.245
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,2.245
Eye and Vision,2.241
Journal of Breast Cancer,2.241
Journal of Consumer Culture,2.24
NEURORADIOLOGY,2.238
TETRAHEDRON,2.233
AMERICAN JOURNAL OF HEALTH PROMOTION,2.232
International Studies Review,2.232
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,2.231
EUROPEAN JOURNAL OF WOMENS STUDIES,2.229
Economic Research-Ekonomska Istrazivanja,2.229
CHINA QUARTERLY,2.228
EUROPEAN PLANNING STUDIES,2.226
ADDICTION RESEARCH & THEORY,2.223
Eurasian Business Review,2.222
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,2.222
Forests,2.221
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,2.22
Insects,2.22
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,2.22
PAPERS IN REGIONAL SCIENCE,2.22
JOURNAL OF PUBLIC ECONOMICS,2.218
Accounting and Finance,2.217
Multinational Business Review,2.216
JOURNAL OF MARRIAGE AND FAMILY,2.215
COGNITIVE SCIENCE,2.214
ENVIRONMENTAL TECHNOLOGY,2.213
INTERNATIONAL REGIONAL SCIENCE REVIEW,2.213
HEALTH POLICY,2.212
American Journal of Cultural Sociology,2.211
Bilingualism-Language and Cognition,2.21
Journal of Earth Science,2.209
Journal of Oncology,2.206
RESEARCH IN HIGHER EDUCATION,2.205
COMPARATIVE EDUCATION,2.204
URBAN EDUCATION,2.2
FOREIGN LANGUAGE ANNALS,2.198
GLYCOCONJUGATE JOURNAL,2.197
Journal of Leadership & Organizational Studies,2.197
Journal of Hospital Medicine,2.194
Technological and Economic Development of Economy,2.194
International Journal of Mental Health Systems,2.193
Asian Business & Management,2.192
JOURNAL OF OCCUPATIONAL REHABILITATION,2.192
URBAN AFFAIRS REVIEW,2.192
ERGONOMICS,2.19
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,2.19
JOURNAL OF THORACIC IMAGING,2.19
Research in Transportation Business and Management,2.189
CRIME & DELINQUENCY,2.188
Competition & Change,2.188
EXPERIMENTAL ECONOMICS,2.188
JOURNAL OF PERSONALITY ASSESSMENT,2.185
Youth Violence and Juvenile Justice,2.184
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,2.18
MANAGEMENT LEARNING,2.18
Cancer Epidemiology,2.179
PSYCHIATRIC CLINICS OF NORTH AMERICA,2.178
BIOMEDICAL MICRODEVICES,2.176
FAMILY PROCESS,2.175
REVIEWS IN ANALYTICAL CHEMISTRY,2.174
Integrative Medicine Research,2.172
JOURNAL OF ADVERTISING RESEARCH,2.169
PLANT PATHOLOGY,2.169
Service Business,2.169
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,2.168
International Journal of Bilingual Education and Bilingualism,2.168
PLANT BIOLOGY,2.167
POST-SOVIET AFFAIRS,2.167
SECURITY STUDIES,2.167
